"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","3 nodes on /waku/2/rs/7/1 topic","Waku Relay auto-sharding, multiple pubsub topics","Fri Oct 24 07:56:20 UTC 2025","passed","Fri Oct 24 07:56:20 UTC 2025","","","",""
"","4","should hash ""hello"" with n=5 and maxValue=1000 correctly","hashN","Fri Oct 24 07:52:22 UTC 2025","passed","Fri Oct 24 07:52:22 UTC 2025","","","",""
"","0","can start the service","Peer Cache Discovery","Fri Oct 24 07:52:06 UTC 2025","passed","Fri Oct 24 07:52:06 UTC 2025","interface-peer-discovery compliance tests","Compliance Tests","",""
"","1","should dial second nwaku node that was discovered","DiscoveryDialer","Fri Oct 24 07:53:04 UTC 2025","skipped","Fri Oct 24 07:53:04 UTC 2025","","","",""
"","2","should dispatch CustomEvent with correct type and detail","NetworkMonitor","Fri Oct 24 07:51:54 UTC 2025","passed","Fri Oct 24 07:51:54 UTC 2025","","dispatchNetworkEvent","",""
"","1","should be able to dial TLS multiaddrs","Dialing","Fri Oct 24 07:54:34 UTC 2025","passed","Fri Oct 24 07:54:34 UTC 2025","","","",""
"","0","should create ping timers when pingKeepAlive > 0","KeepAliveManager","Fri Oct 24 07:51:54 UTC 2025","passed","Fri Oct 24 07:51:54 UTC 2025","","ping timer management","",""
"","1","Fails to push message with large meta","Waku Light Push (legacy=v2): Multiple Nodes: Strict Check: false","Fri Oct 24 08:10:37 UTC 2025","passed","Fri Oct 24 08:10:37 UTC 2025","","","",""
"","0","should insert message id into causal history","MessageChannel","Fri Oct 24 07:52:29 UTC 2025","passed","Fri Oct 24 07:52:29 UTC 2025","","sending a message ","",""
"","0","throws on content topic with empty encoding field","ensureValidContentTopic","Fri Oct 24 07:51:40 UTC 2025","passed","Fri Oct 24 07:51:40 UTC 2025","","","",""
"","0","should remove messages without delivering if timeout is exceeded","MessageChannel","Fri Oct 24 07:52:29 UTC 2025","passed","Fri Oct 24 07:52:29 UTC 2025","","Sweeping incoming buffer","",""
"","0","handles different clusterIds correctly","contentTopicsByPubsubTopic","Fri Oct 24 07:51:40 UTC 2025","passed","Fri Oct 24 07:51:40 UTC 2025","","","",""
"","1","should allow a peer to be returned again after renewPeer is called","PeerManager","Fri Oct 24 07:52:38 UTC 2025","passed","Fri Oct 24 07:52:38 UTC 2025","","","",""
"","0","Passing a valid cursor at 0 index when there are 20 messages","Waku Store, cursor","Fri Oct 24 07:58:15 UTC 2025","passed","Fri Oct 24 07:58:15 UTC 2025","","","",""
"","1","Push message with content topic containing Chinese","Waku Light Push (legacy=v2): Multiple Nodes: Strict Check: false","Fri Oct 24 08:10:37 UTC 2025","passed","Fri Oct 24 08:10:37 UTC 2025","","","",""
"","0","should be able to encode the field with only RELAY set to true","ENR waku2 codec","Fri Oct 24 07:51:44 UTC 2025","passed","Fri Oct 24 07:51:44 UTC 2025","","Encoding","",""
"","0","Bloom filter","Message serialization","Fri Oct 24 07:52:29 UTC 2025","passed","Fri Oct 24 07:52:29 UTC 2025","","","",""
"","0","should set field with only STORE enabled","ENR","Fri Oct 24 07:51:45 UTC 2025","passed","Fri Oct 24 07:51:45 UTC 2025","","waku2 key round trip","",""
"","0","random auto sharding 10 - Cluster ID: 10, Content Topic: /app97/6/topic755/test.js","Autosharding: Running Nodes","Fri Oct 24 07:58:03 UTC 2025","passed","Fri Oct 24 07:58:03 UTC 2025","","","",""
"","0","should select older connection if present","selectOpenConnection","Fri Oct 24 07:51:54 UTC 2025","passed","Fri Oct 24 07:51:54 UTC 2025","","","",""
"","0","should reject if Relay is requested but not mounted","waitForRemotePeer","Fri Oct 24 07:52:39 UTC 2025","passed","Fri Oct 24 07:52:39 UTC 2025","","","",""
"","0","3 nodes on /waku/2/rs/3/2 topic","Waku Relay, static sharding, multiple pubsub topics","Fri Oct 24 07:56:20 UTC 2025","passed","Fri Oct 24 07:56:20 UTC 2025","","","",""
"","0","Timestamp too far from node time: -20000 ms from now","Waku Store, time filter","Fri Oct 24 07:59:10 UTC 2025","passed","Fri Oct 24 07:59:10 UTC 2025","","","",""
"","0","Fails to push message with large meta","Waku Light Push (legacy=v2): Multiple Nodes: Strict Check: true","Fri Oct 24 08:10:36 UTC 2025","passed","Fri Oct 24 08:10:36 UTC 2025","","","",""
"","0","Waku message hash computation (payload length 0)","Message Hash: RFC Test Vectors","Fri Oct 24 07:51:53 UTC 2025","passed","Fri Oct 24 07:51:53 UTC 2025","","","",""
"","0","should handle peerStore errors gracefully","ConnectionManager","Fri Oct 24 07:51:54 UTC 2025","passed","Fri Oct 24 07:51:54 UTC 2025","","getConnectedPeers","",""
"","1","should enable only dns and peerExchange when peerCache is disabled","Default Peer Discoveries","Fri Oct 24 07:52:37 UTC 2025","passed","Fri Oct 24 07:52:37 UTC 2025","","","",""
"","1","should not dispatch event when already disconnected","NetworkMonitor","Fri Oct 24 07:51:54 UTC 2025","passed","Fri Oct 24 07:51:54 UTC 2025","","peer connection events","",""
"","0","Push message with escaped characters payload","Waku Light Push (legacy=v2): Multiple Nodes: Strict Check: true","Fri Oct 24 08:10:36 UTC 2025","passed","Fri Oct 24 08:10:36 UTC 2025","","","",""
"","1","Check received message containing long","Waku Filter: FilterPush: Multiple Nodes: Strict Checking: true","Fri Oct 24 08:00:36 UTC 2025","passed","Fri Oct 24 08:00:36 UTC 2025","","","",""
"","0","Check received message containing shell command","Waku Filter: FilterPush: Multiple Nodes: Strict Checking: false","Fri Oct 24 08:00:37 UTC 2025","passed","Fri Oct 24 08:00:37 UTC 2025","","","",""
"","0","Check received message with timestamp: 1649153314 ","Waku Filter: FilterPush: Multiple Nodes: Strict Checking: false","Fri Oct 24 08:00:37 UTC 2025","passed","Fri Oct 24 08:00:37 UTC 2025","","","",""
"","0","should hash ""Lorem ipsum dolor sit amet"" with n=5 and maxValue=100 correctly","hashN","Fri Oct 24 07:52:22 UTC 2025","passed","Fri Oct 24 07:52:22 UTC 2025","","","",""
"","0","should properly setup health event callback","QueryOnConnect","Fri Oct 24 07:52:39 UTC 2025","passed","Fri Oct 24 07:52:39 UTC 2025","","event handling simulation","",""
"","0","messageHashStr produces different results for different inputs","messageHash and messageHashStr","Fri Oct 24 07:51:53 UTC 2025","passed","Fri Oct 24 07:51:53 UTC 2025","","","",""
"","1","should handle errors when accessing navigator","NetworkMonitor","Fri Oct 24 07:51:54 UTC 2025","passed","Fri Oct 24 07:51:54 UTC 2025","","error handling","",""
"","1","should hash ""test123"" with n=1 and maxValue=1000 correctly","hashN","Fri Oct 24 07:52:22 UTC 2025","passed","Fri Oct 24 07:52:22 UTC 2025","","","",""
"","0","should not trigger query if health event is healthy since last successful query","QueryOnConnect","Fri Oct 24 07:52:39 UTC 2025","passed","Fri Oct 24 07:52:39 UTC 2025","","message retrieval event emission conditions","",""
"","0","Subscribe to topic containing Chinese and publish message","Waku Relay, Subscribe","Fri Oct 24 07:56:36 UTC 2025","passed","Fri Oct 24 07:56:36 UTC 2025","","","",""
"","0","should create QueryOnConnect instance with all required parameters","QueryOnConnect","Fri Oct 24 07:52:39 UTC 2025","passed","Fri Oct 24 07:52:39 UTC 2025","","constructor","",""
"","0","retrieves all peers (3) when branch entries are composed of multiple strings","DNS Node Discovery w/ capabilities","Fri Oct 24 07:52:02 UTC 2025","passed","Fri Oct 24 07:52:02 UTC 2025","","","",""
"","0","should accept empty decoders array","QueryOnConnect","Fri Oct 24 07:52:39 UTC 2025","passed","Fri Oct 24 07:52:39 UTC 2025","","constructor","",""
"","0","Unsubscribe 1 topic - node subscribed to 2 topics","Waku Filter: Unsubscribe: Multiple Nodes: Strict Checking: false","Fri Oct 24 07:56:29 UTC 2025","passed","Fri Oct 24 07:56:29 UTC 2025","","","",""
"","1","Decoder throws on undefined content topic","Ensures content topic is defined","Fri Oct 24 07:52:11 UTC 2025","passed","Fri Oct 24 07:52:11 UTC 2025","","","",""
"","1","should hash ""!@#$%^&*()"" with n=2 and maxValue=10000 correctly","hashN","Fri Oct 24 07:52:22 UTC 2025","passed","Fri Oct 24 07:52:22 UTC 2025","","","",""
"","1","PeerStore has remote peer's shard info after successful connection","Metadata Protocol","Fri Oct 24 07:54:35 UTC 2025","passed","Fri Oct 24 07:54:35 UTC 2025","","static sharding","",""
"","0","should create KeepAliveManager with required options","KeepAliveManager","Fri Oct 24 07:51:54 UTC 2025","passed","Fri Oct 24 07:51:54 UTC 2025","","constructor","",""
"","1","Generator, 2 nwaku nodes each with different shards","Waku Store, different static shards","Fri Oct 24 07:58:21 UTC 2025","passed","Fri Oct 24 07:58:21 UTC 2025","","","",""
"","0","Passing invalid cursor","Waku Store, cursor","Fri Oct 24 07:58:15 UTC 2025","passed","Fri Oct 24 07:58:15 UTC 2025","","","",""
"","0","should handle v3 RLN errors","LightPush SDK","Fri Oct 24 07:52:38 UTC 2025","passed","Fri Oct 24 07:52:38 UTC 2025","","v3 protocol support","",""
"","0","should handle general insertion and lookup correctly","BloomFilter with special patterns","Fri Oct 24 07:52:26 UTC 2025","passed","Fri Oct 24 07:52:26 UTC 2025","","","",""
"","0","should request peer renewal on specific errors","RetryManager","Fri Oct 24 07:52:37 UTC 2025","passed","Fri Oct 24 07:52:37 UTC 2025","","","",""
"","0","Push message with Basic HTML tag payload","Waku Light Push (legacy=v3): Multiple Nodes: Strict Check: true","Fri Oct 24 08:10:36 UTC 2025","passed","Fri Oct 24 08:10:36 UTC 2025","","","",""
"","0","Subscribe and receive ecies encrypted messages via lightPush","Waku Filter: Subscribe: Multiple Service Nodes: Strict Check mode: true","Fri Oct 24 08:00:59 UTC 2025","passed","Fri Oct 24 08:00:59 UTC 2025","","","",""
"","0","should return false when peer has no shard info","ShardReader","Fri Oct 24 07:51:53 UTC 2025","passed","Fri Oct 24 07:51:53 UTC 2025","","isPeerOnNetwork","",""
"","1","retrieves a single peer","DNS Node Discovery","Fri Oct 24 07:52:02 UTC 2025","passed","Fri Oct 24 07:52:02 UTC 2025","","","",""
"","0","Push message with custom timestamp: 1761288809603","Waku Light Push (legacy=v3): Multiple Nodes: Strict Check: false","Fri Oct 24 08:10:37 UTC 2025","passed","Fri Oct 24 08:10:37 UTC 2025","","","",""
"","0","can start and stop the service","Peer Exchange","Fri Oct 24 07:57:01 UTC 2025","passed","Fri Oct 24 07:57:01 UTC 2025","interface-peer-discovery compliance tests","Compliance Test","",""
"","1","should hash ""hello"" with n=1 and maxValue=1000 correctly","hashN","Fri Oct 24 07:52:22 UTC 2025","passed","Fri Oct 24 07:52:22 UTC 2025","","","",""
