"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should derive a pubsub topic using contentTopic when SingleShardInfo only contains clusterId","determinePubsubTopic","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","0","ENRTree (tree): should error if DNS tree entry is mis-prefixed","ENRTree","Wed Feb 05 10:44:42 GMT 2025","passed","Wed Feb 05 10:44:42 GMT 2025","","","",""
"","1","Ephemeral field set to true","Waku Message version 0","Wed Feb 05 10:44:34 GMT 2025","passed","Wed Feb 05 10:44:34 GMT 2025","","","",""
"","0","should initialize with Unhealthy status","HealthIndicator","Wed Feb 05 10:45:00 GMT 2025","passed","Wed Feb 05 10:45:00 GMT 2025","","","",""
"","0","should retrieve 3 multiaddrs for test.waku.nodes.status.im","DNS Node Discovery [live data]","Wed Feb 05 10:45:28 GMT 2025","skipped","Wed Feb 05 10:45:28 GMT 2025","","","",""
"","1","should properly start and stop event listening","HealthIndicator","Wed Feb 05 10:45:00 GMT 2025","passed","Wed Feb 05 10:45:00 GMT 2025","","","",""
"","0","should set field with only LIGHTPUSH enabled","ENR","Wed Feb 05 10:44:28 GMT 2025","passed","Wed Feb 05 10:44:28 GMT 2025","","waku2 key round trip","",""
"","1","Correctly serialized arguments","nwaku","Wed Feb 05 10:45:37 GMT 2025","passed","Wed Feb 05 10:45:37 GMT 2025","","","",""
"","1","does not throw on valid cases","ensureValidContentTopic","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","0","should correctly map /app/27/sometopic/someencoding to shard index 5","contentTopicToShardIndex","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","0","returns nothing if no connections present","selectOpenConnection","Wed Feb 05 10:44:33 GMT 2025","passed","Wed Feb 05 10:44:33 GMT 2025","","","",""
"","0","should extract SingleShardInfo from a valid PubsubTopic","pubsubTopicToSingleShardInfo with various invalid formats","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","1","Round trip binary encryption [symmetric, no signature]","Symmetric Encryption","Wed Feb 05 10:44:52 GMT 2025","passed","Wed Feb 05 10:44:52 GMT 2025","","","",""
"","0","should set field with all protocols disabled","ENR","Wed Feb 05 10:44:28 GMT 2025","passed","Wed Feb 05 10:44:28 GMT 2025","","waku2 key round trip","",""
"","0","should reject on timeout if it was set","waitForRemotePeer","Wed Feb 05 10:45:00 GMT 2025","passed","Wed Feb 05 10:45:00 GMT 2025","","","",""
"","0","Encoder throws on empty string content topic","Ensures content topic is defined","Wed Feb 05 10:44:52 GMT 2025","passed","Wed Feb 05 10:44:52 GMT 2025","","","",""
"","1","should use DNS peer discovery with light client","DNS Node Discovery [live data]","Wed Feb 05 10:45:28 GMT 2025","skipped","Wed Feb 05 10:45:28 GMT 2025","","","",""
"","1","Should update multiaddrs","Peer Exchange Continuous Discovery","Wed Feb 05 10:45:37 GMT 2025","passed","Wed Feb 05 10:45:37 GMT 2025","","","",""
"","0","Encoder throws on empty string content topic","Ensures content topic is defined","Wed Feb 05 10:44:34 GMT 2025","passed","Wed Feb 05 10:44:34 GMT 2025","","","",""
"","1","should fail to send if pubsub topics are misconfigured","LightPush SDK","Wed Feb 05 10:45:00 GMT 2025","passed","Wed Feb 05 10:45:00 GMT 2025","","","",""
"","1","should return the pubsub topic directly if a string is provided","determinePubsubTopic","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","0","should throw an error for non-numeric shard: /waku/2/rs/1/x","pubsubTopicToSingleShardInfo with various invalid formats","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","2","Ephemeral messages are not stored","Waku Message Ephemeral field","Wed Feb 05 10:45:21 GMT 2025","broken","Wed Feb 05 10:45:21 GMT 2025","","","",""
"","0","Round trip binary encryption [ecies, signature]","Ecies Encryption","Wed Feb 05 10:44:54 GMT 2025","passed","Wed Feb 05 10:44:54 GMT 2025","","","",""
"","0","should convert a SingleShardInfo object to the correct PubsubTopic","singleShardInfoToPubsubTopic","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","1","Encoder throws on undefined content topic","Ensures content topic is defined","Wed Feb 05 10:44:52 GMT 2025","passed","Wed Feb 05 10:44:52 GMT 2025","","","",""
"","0","Push message with short payload","Waku Light Push: Multiple Nodes: Strict Check: true","Wed Feb 05 10:45:34 GMT 2025","broken","Wed Feb 05 10:45:34 GMT 2025","","","",""
"","0","should not fail to start the service if it is already started","Local Storage Discovery","Wed Feb 05 10:44:46 GMT 2025","passed","Wed Feb 05 10:44:46 GMT 2025","interface-peer-discovery compliance tests","Compliance Tests","",""
"","1","Waku message hash computation (message is IDecodedMessage)","RFC Test Vectors","Wed Feb 05 10:44:21 GMT 2025","passed","Wed Feb 05 10:44:21 GMT 2025","","","",""
"","0","should properly create location multiaddrs - tcp","ENR","Wed Feb 05 10:44:28 GMT 2025","passed","Wed Feb 05 10:44:28 GMT 2025","","Location multiaddr","",""
"","1","ENRTree (root): should error if DNS root entry is mis-prefixed","ENRTree","Wed Feb 05 10:44:42 GMT 2025","passed","Wed Feb 05 10:44:42 GMT 2025","","","",""
"","1","should process correctly when SingleShardInfo has no clusterId but has a shard","determinePubsubTopic","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","0","ENRTree (tree): should parse a DNS tree entry","ENRTree","Wed Feb 05 10:44:42 GMT 2025","passed","Wed Feb 05 10:44:42 GMT 2025","","","",""
"","0","should reject if WakuNode is not started","waitForRemotePeer","Wed Feb 05 10:45:00 GMT 2025","passed","Wed Feb 05 10:45:00 GMT 2025","","","",""
"","0","Encoder throws on undefined content topic","Ensures content topic is defined","Wed Feb 05 10:44:54 GMT 2025","passed","Wed Feb 05 10:44:54 GMT 2025","","","",""
"","0","should emit `peer:connected:bootstrap` event when a peer is connected","Events","Wed Feb 05 10:45:19 GMT 2025","passed","Wed Feb 05 10:45:19 GMT 2025","","peer:connect","",""
"","0","should set field with only RELAY enabled","ENR","Wed Feb 05 10:44:28 GMT 2025","passed","Wed Feb 05 10:44:28 GMT 2025","","waku2 key round trip","",""
"","0","should not receive a peer event before start","Local Storage Discovery","Wed Feb 05 10:44:46 GMT 2025","passed","Wed Feb 05 10:44:46 GMT 2025","interface-peer-discovery compliance tests","Compliance Tests","",""
"","0","should throw an error for invalid PubsubTopic format: /incorrect/format","pubsubTopicToSingleShardInfo with various invalid formats","Wed Feb 05 10:44:19 GMT 2025","passed","Wed Feb 05 10:44:19 GMT 2025","","","",""
"","0","should throw error - no public key","ENR","Wed Feb 05 10:44:28 GMT 2025","passed","Wed Feb 05 10:44:28 GMT 2025","","Verify","",""
