"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should hash ""!@#$%^&*()"" with n=1 and maxValue=100 correctly","hashN","Fri Feb 21 10:39:36 GMT 2025","passed","Fri Feb 21 10:39:36 GMT 2025","","","",""
"","0","Using a function","Waku Dial [node only]","Fri Feb 21 10:45:03 GMT 2025","passed","Fri Feb 21 10:45:03 GMT 2025","","Bootstrap","",""
"","1","ENRTree (root): should error if DNS root entry is mis-prefixed","ENRTree","Fri Feb 21 10:39:10 GMT 2025","passed","Fri Feb 21 10:39:10 GMT 2025","","","",""
"","0","should decode valid ENR with multiaddrs successfully [shared test vector]","ENR","Fri Feb 21 10:38:57 GMT 2025","passed","Fri Feb 21 10:38:57 GMT 2025","","Txt codec","",""
"","0","should throw an error for missing required configuration","shardInfoToPubsubTopics","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","0","should properly create location multiaddrs - tcp4","ENR","Fri Feb 21 10:38:57 GMT 2025","passed","Fri Feb 21 10:38:57 GMT 2025","","Location multiaddr","",""
"","1","Push message with content topic containing Arabic","Waku Light Push: Multiple Nodes: Strict Check: true","Fri Feb 21 10:43:39 GMT 2025","passed","Fri Feb 21 10:43:39 GMT 2025","","","",""
"","1","Check publish message after service node is restarted","Waku Relay, Publish","Fri Feb 21 10:43:50 GMT 2025","skipped","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","1","can start the service","DNS Discovery: Compliance Test","Fri Feb 21 10:40:08 GMT 2025","passed","Fri Feb 21 10:40:08 GMT 2025","","interface-peer-discovery compliance tests","",""
"","0","Subscribe to topic containing Arabic and receive message","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: false","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","1","Register correct protocols","Waku Relay, Subscribe","Fri Feb 21 10:43:50 GMT 2025","passed","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","1","should correctly map /app/20/sometopic/someencoding to shard index 1 with networkShards 2","contentTopicToShardIndex","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","0","Check received message with timestamp: 1649153314 ","Waku Filter V2: FilterPush: Multiple Nodes: Strict Checking: false","Fri Feb 21 10:43:35 GMT 2025","passed","Fri Feb 21 10:43:35 GMT 2025","","","",""
"","0","should be able to encode the field with only LIGHTPUSH set to true","ENR waku2 codec","Fri Feb 21 10:38:56 GMT 2025","passed","Fri Feb 21 10:38:56 GMT 2025","","Encoding","",""
"","0","should throw an error for missing sharding configuration","ensureShardingConfigured","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","0","Check publish message containing special chars","Waku Relay, Publish","Fri Feb 21 10:43:50 GMT 2025","passed","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","0","Check received message containing numeric","Waku Filter V2: FilterPush: Multiple Nodes: Strict Checking: true","Fri Feb 21 10:43:35 GMT 2025","passed","Fri Feb 21 10:43:35 GMT 2025","","","",""
"","1","Subscribe to topic containing unicode special characters and receive message","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: true","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","0","should hash ""test123"" with n=2 and maxValue=100 correctly","hashN","Fri Feb 21 10:39:36 GMT 2025","passed","Fri Feb 21 10:39:36 GMT 2025","","","",""
"","0","Light push messages to 2 nwaku nodes each with different pubsubtopics","Waku Light Push : Multiple PubsubTopics","Fri Feb 21 10:42:17 GMT 2025","passed","Fri Feb 21 10:42:17 GMT 2025","","","",""
"","0","Check received message containing Basic HTML tag","Waku Filter V2: FilterPush: Multiple Nodes: Strict Checking: true","Fri Feb 21 10:43:35 GMT 2025","passed","Fri Feb 21 10:43:35 GMT 2025","","","",""
"","0","Check received message with timestamp: 1949153314000 ","Waku Filter V2: FilterPush: Multiple Nodes: Strict Checking: true","Fri Feb 21 10:43:35 GMT 2025","passed","Fri Feb 21 10:43:35 GMT 2025","","","",""
"","0","retrieves all peers (2) when cannot fulfill all requirements","DNS Node Discovery w/ capabilities","Fri Feb 21 10:39:11 GMT 2025","passed","Fri Feb 21 10:39:11 GMT 2025","","","",""
"","0","Decoder throws on undefined content topic","Ensures content topic is defined","Fri Feb 21 10:39:21 GMT 2025","passed","Fri Feb 21 10:39:21 GMT 2025","","","",""
"","0","should correctly encode and decode relay shards using rsv format (Bit Vector)","Relay Shard codec","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","1","Passing page size 3 when there are 20 messages","Waku Store, page size","Fri Feb 21 10:44:48 GMT 2025","passed","Fri Feb 21 10:44:48 GMT 2025","","","",""
"","1","should be called for every peer with PEER_EXCHANGE tags","Dials","Fri Feb 21 10:40:00 GMT 2025","passed","Fri Feb 21 10:40:00 GMT 2025","For peer-exchange peers","dialPeer method","",""
"","0","Publish message with custom timestamp: Fri Feb 21 2025 11:43:40 GMT+0000 (Coordinated Universal Time)","Waku Relay, Publish","Fri Feb 21 10:43:50 GMT 2025","passed","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","0","Push 30 different messages","Waku Light Push: Single Node","Fri Feb 21 10:43:29 GMT 2025","passed","Fri Feb 21 10:43:29 GMT 2025","","","",""
"","6","3 nodes on /waku/2/rs/7/1 topic","Waku Relay (Autosharding), multiple pubsub topics","Fri Feb 21 10:43:40 GMT 2025","passed","Fri Feb 21 10:43:40 GMT 2025","","","",""
"","3","should not fail to start the service if it is already started","Peer Exchange","Fri Feb 21 10:43:57 GMT 2025","passed","Fri Feb 21 10:43:57 GMT 2025","interface-peer-discovery compliance tests","Compliance Test","",""
"","2","should initialize with default number of peers","PeerManager","Fri Feb 21 10:39:28 GMT 2025","passed","Fri Feb 21 10:39:28 GMT 2025","","","",""
"","1","Push message with content topic containing XML","Waku Light Push: Multiple Nodes: Strict Check: true","Fri Feb 21 10:43:39 GMT 2025","passed","Fri Feb 21 10:43:39 GMT 2025","","","",""
"","0","Subscribe to topic containing Script and receive message","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: true","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","0","Subscribe to topic containing Chinese and publish message","Waku Relay, Subscribe","Fri Feb 21 10:43:50 GMT 2025","passed","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","0","should correctly map /app/29/sometopic/someencoding to shard index 6","contentTopicToShardIndex","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","0","should select older connection if present","selectOpenConnection","Fri Feb 21 10:39:02 GMT 2025","passed","Fri Feb 21 10:39:02 GMT 2025","","","",""
"","0","topics with same application and version share the same shard","contentTopicToShardIndex","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","0","should hash ""hello"" with n=0 and maxValue=10000 correctly","hashN","Fri Feb 21 10:39:36 GMT 2025","passed","Fri Feb 21 10:39:36 GMT 2025","","","",""
"","4","should be able to encode the field with only RELAY set to true","ENR waku2 codec","Fri Feb 21 10:38:56 GMT 2025","passed","Fri Feb 21 10:38:56 GMT 2025","","Encoding","",""
"","1","Non TWN Cluster","Autosharding: Running Nodes","Fri Feb 21 10:44:15 GMT 2025","passed","Fri Feb 21 10:44:15 GMT 2025","","Different clusters and topics","",""
"","0","Check received message with timestamp: 1740134392649000000 ","Waku Filter V2: FilterPush: Multiple Nodes: Strict Checking: false","Fri Feb 21 10:43:35 GMT 2025","passed","Fri Feb 21 10:43:35 GMT 2025","","","",""
"","0","Push message with content topic containing Russian","Waku Light Push: Multiple Nodes: Strict Check: true","Fri Feb 21 10:43:39 GMT 2025","passed","Fri Feb 21 10:43:39 GMT 2025","","","",""
"","0","Ping on unsubscribed peer","Waku Filter V2: Ping: Multiple Nodes: Strict Checking: true","Fri Feb 21 10:40:31 GMT 2025","passed","Fri Feb 21 10:40:31 GMT 2025","","","",""
"","0","should hash ""!@#$%^&*()"" with n=1 and maxValue=10000 correctly","hashN","Fri Feb 21 10:39:36 GMT 2025","passed","Fri Feb 21 10:39:36 GMT 2025","","","",""
"","0","should throw an error for non-numeric clusterId: /waku/2/rs/$/1","pubsubTopicToSingleShardInfo with various invalid formats","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","0","Subscribe and receive symmetrically encrypted messages via lightPush","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: true","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","3","Ping on subscribed peer","Waku Filter V2: Ping: Multiple Nodes: Strict Checking: false","Fri Feb 21 10:40:31 GMT 2025","passed","Fri Feb 21 10:40:31 GMT 2025","","","",""
"","0","Unsubscribe 2 topics - node subscribed to 2 topics","Waku Filter V2: Unsubscribe","Fri Feb 21 10:40:55 GMT 2025","passed","Fri Feb 21 10:40:55 GMT 2025","","","",""
"","0","should hash """" with n=5 and maxValue=1000 correctly","hashN","Fri Feb 21 10:39:36 GMT 2025","passed","Fri Feb 21 10:39:36 GMT 2025","","","",""
"","1","Push message with short payload","Waku Light Push: Single Node","Fri Feb 21 10:43:29 GMT 2025","passed","Fri Feb 21 10:43:29 GMT 2025","","","",""
"","0","random static sharding 10 - Cluster ID: 157, Shard ID: 155","Static Sharding: Running Nodes","Fri Feb 21 10:44:21 GMT 2025","passed","Fri Feb 21 10:44:21 GMT 2025","","Different clusters and shards","",""
"","0","Publish message with custom timestamp: Sat Mar 02 2024 10:43:40 GMT+0000 (Coordinated Universal Time)","Waku Relay, Publish","Fri Feb 21 10:43:50 GMT 2025","passed","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","0","Privacy Node - default protocol","Wait for remote peer","Fri Feb 21 10:45:07 GMT 2025","passed","Fri Feb 21 10:45:07 GMT 2025","","","",""
"","4","Subscribe at once to 10000 topics and publish messages","Waku Relay, Subscribe","Fri Feb 21 10:43:50 GMT 2025","passed","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","1","Overlapping topic subscription","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: false","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","1","Subscribe and receives messages on 20 topics","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: true","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","0","Subscribe and receive ecies encrypted messages via lightPush","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: false","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","1","Encoder throws on undefined content topic","Ensures content topic is defined","Fri Feb 21 10:39:03 GMT 2025","passed","Fri Feb 21 10:39:03 GMT 2025","","","",""
"","0","Ping on unsubscribed peer","Waku Filter V2: Ping","Fri Feb 21 10:40:18 GMT 2025","passed","Fri Feb 21 10:40:18 GMT 2025","","","",""
"","1","Push message with content topic containing long","Waku Light Push: Multiple Nodes: Strict Check: true","Fri Feb 21 10:43:39 GMT 2025","passed","Fri Feb 21 10:43:39 GMT 2025","","","",""
"","1","Ping on peer without subscriptions","Waku Filter V2: Ping: Multiple Nodes: Strict Checking: false","Fri Feb 21 10:40:31 GMT 2025","passed","Fri Feb 21 10:40:31 GMT 2025","","","",""
"","0","Check received message containing Basic HTML tag","Waku Filter V2: FilterPush: Multiple Nodes: Strict Checking: false","Fri Feb 21 10:43:35 GMT 2025","passed","Fri Feb 21 10:43:35 GMT 2025","","","",""
"","0","Subscribe to topic containing special chars and receive message","Waku Filter V2: Subscribe: Multiple Service Nodes: Strict Check mode: false","Fri Feb 21 10:44:57 GMT 2025","passed","Fri Feb 21 10:44:57 GMT 2025","","","",""
"","1","should be able to encode the field with only STORE set to true","ENR waku2 codec","Fri Feb 21 10:38:56 GMT 2025","passed","Fri Feb 21 10:38:56 GMT 2025","","Encoding","",""
"","0","Check received message containing JSON","Waku Filter V2: FilterPush: Multiple Nodes: Strict Checking: true","Fri Feb 21 10:43:35 GMT 2025","passed","Fri Feb 21 10:43:35 GMT 2025","","","",""
"","1","should not receive a peer event after stop","DNS Discovery: Compliance Test","Fri Feb 21 10:40:08 GMT 2025","passed","Fri Feb 21 10:40:08 GMT 2025","","interface-peer-discovery compliance tests","",""
"","1","Query Generator  - false","Waku Store, order","Fri Feb 21 10:44:36 GMT 2025","passed","Fri Feb 21 10:44:36 GMT 2025","","","",""
"","0","should correctly map /app/20/sometopic/someencoding to shard index 15 with networkShards 16","contentTopicToShardIndex","Fri Feb 21 10:38:48 GMT 2025","passed","Fri Feb 21 10:38:48 GMT 2025","","","",""
"","1","returns only open connection if one present","selectOpenConnection","Fri Feb 21 10:39:02 GMT 2025","passed","Fri Feb 21 10:39:02 GMT 2025","","","",""
"","6","Cluster ID 0 - Default/Global Cluster","Static Sharding: Running Nodes","Fri Feb 21 10:44:21 GMT 2025","passed","Fri Feb 21 10:44:21 GMT 2025","","Different clusters and shards","",""
"","1","Add multiple subscription objects on single nwaku node","Waku Filter V2: Subscribe: Single Service Node","Fri Feb 21 10:42:03 GMT 2025","passed","Fri Feb 21 10:42:03 GMT 2025","","","",""
"","1","ENRTree (root): should parse and verify and DNS root entry","ENRTree","Fri Feb 21 10:39:10 GMT 2025","passed","Fri Feb 21 10:39:10 GMT 2025","","","",""
"","2","Subscribe to topic containing shell command and publish message","Waku Relay, Subscribe","Fri Feb 21 10:43:50 GMT 2025","passed","Fri Feb 21 10:43:50 GMT 2025","","","",""
"","0","Push message with numeric payload","Waku Light Push: Single Node","Fri Feb 21 10:43:29 GMT 2025","passed","Fri Feb 21 10:43:29 GMT 2025","","","",""
