"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should increase lamport timestamp","MessageChannel","Wed Sep 10 20:48:20 UTC 2025","passed","Wed Sep 10 20:48:20 UTC 2025","","receiving a message","",""
"","0","Using a function","Waku Dial [node only]","Wed Sep 10 20:54:44 UTC 2025","passed","Wed Sep 10 20:54:44 UTC 2025","","Bootstrap","",""
"","1","ENRTree (root): should error if DNS root entry is malformed","ENRTree","Wed Sep 10 20:47:53 UTC 2025","passed","Wed Sep 10 20:47:53 UTC 2025","","","",""
"","0","yields undefined for messages without decoder","StoreCore","Wed Sep 10 20:47:43 UTC 2025","passed","Wed Sep 10 20:47:43 UTC 2025","","queryPerPage","",""
"","0","should merge peer addresses if peer exists with different addresses","DiscoveryDialer","Wed Sep 10 20:47:42 UTC 2025","passed","Wed Sep 10 20:47:42 UTC 2025","","updatePeerStore","",""
"","0","throws on empty content topic","ensureValidContentTopic","Wed Sep 10 20:47:27 UTC 2025","passed","Wed Sep 10 20:47:27 UTC 2025","","","",""
"","0","Timestamp too far from node time: -20000 ms from now","Waku Store, time filter","Wed Sep 10 20:54:45 UTC 2025","passed","Wed Sep 10 20:54:45 UTC 2025","","","",""
"","0","should handle case with no peers in store","ConnectionLimiter","Wed Sep 10 20:47:43 UTC 2025","passed","Wed Sep 10 20:47:43 UTC 2025","","dialPeersFromStore","",""
"","0","should be empty when created","Filter Subscription","Wed Sep 10 20:48:31 UTC 2025","passed","Wed Sep 10 20:48:31 UTC 2025","","","",""
"","0","Sync message is not sent if another sync message was just received","Reliable Channel: Sync","Wed Sep 10 20:48:39 UTC 2025","passed","Wed Sep 10 20:48:39 UTC 2025","","","",""
"","0","should successfully subscribe to supported pubsub topic","Filter SDK","Wed Sep 10 20:48:30 UTC 2025","passed","Wed Sep 10 20:48:30 UTC 2025","","","",""
"","0","Check message with no content topic is not received","Waku Filter: FilterPush: Multiple Nodes: Strict Checking: false","Wed Sep 10 20:56:34 UTC 2025","passed","Wed Sep 10 20:56:34 UTC 2025","","","",""
"","1","can query messages by message hash","Waku Store, message hash query","Wed Sep 10 20:54:19 UTC 2025","passed","Wed Sep 10 20:54:19 UTC 2025","","","",""
