"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should hash ""Lorem ipsum dolor sit amet"" with n=2 and maxValue=1000 correctly","hashN","Tue Jul 15 05:51:04 GMT 2025","passed","Tue Jul 15 05:51:04 GMT 2025","","","",""
"","1","should hash ""!@#$%^&*()"" with n=1 and maxValue=1000 correctly","hashN","Tue Jul 15 05:51:04 GMT 2025","passed","Tue Jul 15 05:51:04 GMT 2025","","","",""
"","1","returns nothing if no connections present","selectOpenConnection","Tue Jul 15 05:50:24 GMT 2025","passed","Tue Jul 15 05:50:24 GMT 2025","","","",""
"","0","Fails to push message bigger that 1MB","Waku Light Push: Multiple Nodes: Strict Check: false","Tue Jul 15 06:17:36 GMT 2025","passed","Tue Jul 15 06:17:36 GMT 2025","","","",""
"","0","should handle errors when globalThis is not available","NetworkMonitor","Tue Jul 15 05:50:23 GMT 2025","passed","Tue Jul 15 05:50:23 GMT 2025","","start","",""
"","0","should properly create location multiaddrs - udp6","ENR","Tue Jul 15 05:50:15 GMT 2025","passed","Tue Jul 15 05:50:15 GMT 2025","","Location multiaddr","",""
"","0","Push message with shell command payload","Waku Light Push: Multiple Nodes: Strict Check: true","Tue Jul 15 06:17:36 GMT 2025","passed","Tue Jul 15 06:17:36 GMT 2025","","","",""
"","0","should keep entries that haven't expired yet","TTLSet","Tue Jul 15 05:50:52 GMT 2025","passed","Tue Jul 15 05:50:52 GMT 2025","","","",""
"","1","1 Relay, 1 Filter, gives up","Fetch nodes until capabilities are fulfilled","Tue Jul 15 05:50:33 GMT 2025","passed","Tue Jul 15 05:50:33 GMT 2025","","","",""
"","0","should load peers from local storage and dispatch events","Local Storage Discovery","Tue Jul 15 05:50:37 GMT 2025","passed","Tue Jul 15 05:50:37 GMT 2025","","Unit Tests","",""
"","0","Push message with content topic containing escaped characters","Waku Light Push: Multiple Nodes: Strict Check: true","Tue Jul 15 06:17:36 GMT 2025","broken","Tue Jul 15 06:17:36 GMT 2025","","","",""
