"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Check received message containing emoji","Waku Filter: FilterPush: Multiple Nodes: Strict Checking: false","Sun Oct 12 02:00:52 UTC 2025","passed","Sun Oct 12 02:00:52 UTC 2025","","","",""
"","0","Push message with content topic containing numeric","Waku Light Push (legacy=v3): Multiple Nodes: Strict Check: false","Sun Oct 12 02:10:43 UTC 2025","passed","Sun Oct 12 02:10:43 UTC 2025","","","",""
"","1","tcp ip4 address","Multiaddr from fields","Sun Oct 12 01:52:19 UTC 2025","passed","Sun Oct 12 01:52:19 UTC 2025","","","",""
"","0","Passing page size 0 when there are 110 messages","Waku Store, page size","Sun Oct 12 01:59:20 UTC 2025","passed","Sun Oct 12 01:59:20 UTC 2025","","","",""
"","0","Generator, 2 nwaku nodes each with different shards","Waku Store, different static shards","Sun Oct 12 01:58:37 UTC 2025","passed","Sun Oct 12 01:58:37 UTC 2025","","","",""
"","1","should be safe to call multiple times","DiscoveryDialer","Sun Oct 12 01:52:28 UTC 2025","passed","Sun Oct 12 01:52:28 UTC 2025","","start","",""
"","0","should retrieve all multiaddrs when several ENR Tree URLs are passed","DNS Node Discovery [live data]","Sun Oct 12 01:53:51 UTC 2025","skipped","Sun Oct 12 01:53:51 UTC 2025","","","",""
"","0","Push message with custom timestamp: 1729475648592","Waku Light Push (legacy=v2): Multiple Nodes: Strict Check: true","Sun Oct 12 02:10:43 UTC 2025","passed","Sun Oct 12 02:10:43 UTC 2025","","","",""
"","1","should create a new stream if no existing for protocol found","StreamManager","Sun Oct 12 01:52:29 UTC 2025","passed","Sun Oct 12 01:52:29 UTC 2025","","","",""
"","0","should handle cache.get errors gracefully","Peer Cache Discovery","Sun Oct 12 01:52:42 UTC 2025","passed","Sun Oct 12 01:52:42 UTC 2025","","Unit Tests","",""
"","1","should be sent without a timestamp, causal history, or bloom filter","MessageChannel","Sun Oct 12 01:53:07 UTC 2025","passed","Sun Oct 12 01:53:07 UTC 2025","","Ephemeral messages","",""
"","0","should return only peers supporting the requested protocol and pubsub topic","PeerManager","Sun Oct 12 01:53:18 UTC 2025","passed","Sun Oct 12 01:53:18 UTC 2025","","","",""
"","0","Outgoing message is acknowledged","Reliable Channel: Acks","Sun Oct 12 01:53:20 UTC 2025","passed","Sun Oct 12 01:53:20 UTC 2025","","","",""
"","0","should insert message into bloom filter","MessageChannel","Sun Oct 12 01:53:07 UTC 2025","passed","Sun Oct 12 01:53:07 UTC 2025","","sending a message ","",""
"","1","caches peers it previously fetched","DNS Node Discovery","Sun Oct 12 01:52:39 UTC 2025","passed","Sun Oct 12 01:52:39 UTC 2025","","","",""
"","1","should emit multiple messages when query returns multiple messages","QueryOnConnect","Sun Oct 12 01:53:19 UTC 2025","passed","Sun Oct 12 01:53:19 UTC 2025","","end-to-end message emission tests","",""
"","0","Push message with content topic containing long","Waku Light Push (legacy=v3): Multiple Nodes: Strict Check: false","Sun Oct 12 02:10:43 UTC 2025","passed","Sun Oct 12 02:10:43 UTC 2025","","","",""
"","0","Relay - dialed after","Wait for remote peer","Sun Oct 12 01:59:30 UTC 2025","passed","Sun Oct 12 01:59:30 UTC 2025","","","",""
"","0","should throw an error for non-numeric shard: /waku/2/rs/1/ ","pubsubTopicToSingleShardInfo with various invalid formats","Sun Oct 12 01:52:14 UTC 2025","passed","Sun Oct 12 01:52:14 UTC 2025","","","",""
"","0","should serialize and deserialize correctly","BloomFilter","Sun Oct 12 01:53:04 UTC 2025","passed","Sun Oct 12 01:53:04 UTC 2025","","","",""
"","0","should reject if Relay is requested but not mounted","waitForRemotePeer","Sun Oct 12 01:53:19 UTC 2025","passed","Sun Oct 12 01:53:19 UTC 2025","","","",""
"","1","Push message with content topic containing emoji","Waku Light Push (legacy=v2): Multiple Nodes: Strict Check: false","Sun Oct 12 02:10:43 UTC 2025","passed","Sun Oct 12 02:10:43 UTC 2025","","","",""
"","4","Ordered Callback sorting by timestamp while page direction is true","Waku Store, sorting","Sun Oct 12 01:59:17 UTC 2025","passed","Sun Oct 12 01:59:17 UTC 2025","","","",""
"","1","can start the service","Peer Cache Discovery","Sun Oct 12 01:52:42 UTC 2025","passed","Sun Oct 12 01:52:42 UTC 2025","interface-peer-discovery compliance tests","Compliance Tests","",""
"","0","should properly create peer info with all multiaddrs","ENR","Sun Oct 12 01:52:20 UTC 2025","passed","Sun Oct 12 01:52:20 UTC 2025","","Location multiaddr","",""
"","0","Re-sent message is acknowledged once other parties join.","Reliable Channel: Acks","Sun Oct 12 01:53:20 UTC 2025","passed","Sun Oct 12 01:53:20 UTC 2025","","","",""
"","0","should create KeepAliveManager with relay","KeepAliveManager","Sun Oct 12 01:52:29 UTC 2025","passed","Sun Oct 12 01:52:29 UTC 2025","","constructor","",""
